,sort_algo,type,size,ns
139,library_sort/4,shuffled,10000,142789097
140,library_sort/4,sawtooth,10000,217813768
141,library_sort/4,nearly_sorted,10,12412
142,library_sort/4,push_front,1000,1472062
143,library_sort/4,push_middle,100,38430
144,library_sort/4,pipe_organ,10000,247214881
145,library_sort/1,sawtooth,100000,1461112619
146,library_sort/1,pipe_organ,100000,7721361308
147,library_sort/2,descending,100000,8963916385
148,library_sort/1,ascending,100000,12212282255
149,library_sort/1,nearly_sorted,100000,11930153422
150,library_sort/1,push_front,100000,13058101111
151,library_sort/2,shuffled,100000,13539965101
152,library_sort/1,push_middle,100000,13299253582
153,library_sort/2,sawtooth,100000,15595542168
154,library_sort/1,all_equal,100000,17675822921
155,library_sort/1,descending,100000,18630069109
156,library_sort/2,pipe_organ,100000,20351228720
157,library_sort/3,descending,100000,21165245510
158,library_sort/2,ascending,100000,22091550280
159,library_sort/2,push_middle,100000,22636288849
160,library_sort/2,push_front,100000,22977892330
161,library_sort/3,shuffled,100000,23555045736
162,library_sort/2,nearly_sorted,100000,23570539025
163,library_sort/3,sawtooth,100000,24948418671
164,library_sort/2,all_equal,100000,26008864603
165,library_sort/3,pipe_organ,100000,27947155036
166,library_sort/4,descending,100000,28833153842
167,library_sort/3,nearly_sorted,100000,29833521838
168,library_sort/3,ascending,100000,30364761622
169,library_sort/3,push_middle,100000,30287420144
170,library_sort/3,push_front,100000,30389122394
171,library_sort/4,shuffled,100000,30702313141
172,library_sort/4,sawtooth,100000,31151926948
173,library_sort/3,all_equal,100000,32018567146
174,library_sort/4,pipe_organ,100000,32577250874
175,library_sort/4,push_middle,100000,33340133207
176,library_sort/4,nearly_sorted,100000,33530589148
177,library_sort/4,push_front,100000,33755449103
178,library_sort/4,ascending,100000,34074298433
179,library_sort/4,all_equal,100000,35431550192
